,trigger,leftvar,AMS,MAD,MSE,ROCIntegral,overtrain
80,HLT_PFHT180,recon_Wmass,0.775,0.12967669046877056,0.02646915245249573,82.59065562519001,1.9754226831114465
81,HLT_PFHT180,recon_Hmass,0.852,0.12610470330069912,0.023823583931448098,82.63682917697946,1.971028487091644
82,HLT_PFHT180,deltaR_reconHW,0.845,0.13336452353313968,0.026975977506304902,81.39352924588613,1.971925311549768
83,HLT_PFHT180,recon_Hpt,0.958,0.13297877609479802,0.026873027960065857,84.06911688547102,1.9752649883887443
84,HLT_PFHT180,recon_Wpt,0.971,0.13707753866936093,0.02800389552550413,83.99561134520516,1.9697937483858823
85,HLT_PFHT180,deltaR_bb,0.947,0.1363729428882689,0.02808556237298438,83.91279142572026,1.97328106980558
86,HLT_PFHT180,deltaR_W,0.935,0.13845052691056178,0.029327073926105264,84.0994170055965,1.9735957053911761
87,HLT_PFHT180,Jet_HT,0.971,0.13485514567745308,0.027173139114212548,83.42357332030649,1.9731217994233816
88,HLT_PFHT180,bJet_pt1,0.969,0.1309949706443846,0.025923270447421858,83.78215202769735,1.9692570995621281
89,HLT_PFHT180,bJet_pt2,0.964,0.12980083282446178,0.025050545091474648,83.64325813193294,1.9708095608948497
90,HLT_PFHT180,WJet_pt1,0.973,0.13540363812803233,0.02787725129732613,83.87911123834783,1.9694761476293934
91,HLT_PFHT180,WJet_pt2,0.957,0.13225889992519632,0.02666448962491343,83.80606042035518,1.9722002953340052
92,HLT_PFHT180,bJet_btagDeepB1,0.991,0.135603466800248,0.027825214944591187,84.07517856444224,1.9769156931769203
93,HLT_PFHT180,bJet_btagDeepB2,0.974,0.1385158433524672,0.028994067071703235,83.93827367228177,1.9745142655253858
94,HLT_PFHT180,WJet_btagDeepB1,0.942,0.13847877385232002,0.029070475648428667,83.97645710654086,1.975618793829426
95,HLT_PFHT180,WJet_btagDeepB2,0.952,0.13989241031106148,0.02927740640166347,84.07048880138865,1.9704164232136918
