,trigger,leftvar,AMS,AMSrecon,MAD,MSE,ROCIntegral,overtrain,bckevents,sigevents
163,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_btagDeepC1', 'WJet_btagDeepC2']",1.06,0.875,0.20706742547848353,0.06270879467564042,83.90408667338151,1.9289796094140002,32780.0680847168,148.92789654433727
164,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['bJet_mass1', 'bJet_mass2']",1.02,0.879,0.21467193490291042,0.06626829387935712,83.66420343437815,1.9342244490035227,11134.88582611084,75.67168118059635
165,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_mass1', 'WJet_mass2']",0.988,0.854,0.20511995968451086,0.06116210773077592,83.7082951449712,1.9311876932958967,37816.17593383789,143.44972291588783
166,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_neEmEF1', 'WJet_neEmEF2']",1.02,1.34,0.20061473445959402,0.05899498594626433,83.7379935880956,1.928780256542268,8286.658660173416,66.85269160568714
167,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_neHEF1', 'WJet_neHEF1']",0.985,2.23,0.20444282541906802,0.06217921996829302,83.05127451992202,1.9253663740440174,7530.782782256603,48.538006857037544
168,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_qgl1', 'WJet_qgl2']",1.71,1.56,0.2061114851602221,0.061288091240144976,83.53678137973108,1.9340870844775964,271.75952076911926,6.202601313591003
169,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['HJet_qgl1', 'HJet_qgl2']",1.14,0.865,0.20654523474810577,0.06267131096955493,83.88364113845942,1.9228292375501042,7625.010383605957,62.07649218291044
170,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_nConstituents1', 'WJet_nConstituents2']",0.917,1.87,0.20966829496945683,0.06380489033610494,84.01295759005797,1.930213597904185,7959.187796294689,48.913076393306255
171,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Wmass,0.922,0.714,0.1918588721377437,0.05483399419969058,82.56725624451683,1.9304934623460213,33475.172775268555,122.24368406832218
172,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Hmass,0.999,0.0,0.19090900604257402,0.05490141376908266,81.94605528672405,1.921369564693805,0.0,0.0
173,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_reconHW,0.865,0.709,0.1933741846549519,0.05453516733356843,82.55002463469823,1.930402016115977,58184.19232940674,159.8904145359993
174,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Hpt,1.13,0.882,0.21018116598689462,0.06465019598700916,83.7986494507782,1.9453029149262875,10228.786071777344,69.18505023419857
175,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Wpt,1.02,0.883,0.20113715112783953,0.05887772504599661,83.81141007823246,1.9307241893448008,5285.881495714188,45.14147461205721
176,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_bb,1.05,1.81,0.20744206272782018,0.06277916667580853,83.605074123375,1.9265861839885474,180.7275459766388,8.670298919081688
177,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_W,1.08,0.819,0.20619210384428527,0.063578622548749,83.44430146893241,1.935331559854113,7311.960750579834,59.06026427447796
178,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,Jet_HT,1.08,1.61,0.19210023616651928,0.05446767248104273,82.44822492234827,1.9196488548170692,1662.6721260547638,15.23080761730671
179,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['bJet_pt1', 'bJet_pt2']",1.1,0.821,0.20572679467873914,0.06181293706006255,83.92327542876639,1.9395065920944035,52637.34461975098,175.01581510156393
180,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_pt1', 'WJet_pt2']",1.14,0.915,0.19668398080122906,0.056723388881433086,83.77760503315739,1.934590471581032,19286.103843688965,112.70133303105831
181,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_btagDeepB1', 'WJet_btagDeepB2']",1.02,0.912,0.20835166214749196,0.0635115784195166,83.93257281144784,1.9333004986797278,170455.29294461012,286.26824812591076
182,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_btagDeepC1', 'WJet_btagDeepC2']",1.22,0.988,0.20097330539077082,0.058933032739102595,83.93063463277795,1.926532243035716,23607.163459777832,122.38576012849808
183,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['bJet_mass1', 'bJet_mass2']",1.13,0.837,0.20628210011821824,0.06264941923259026,83.69306486233131,1.9281526545664747,35543.31148529053,149.03892681002617
184,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_mass1', 'WJet_mass2']",1.04,0.906,0.20228076112303278,0.06061922329311786,83.93572672967693,1.9318416466869621,33148.073165893555,140.69750787317753
185,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_neEmEF1', 'WJet_neEmEF2']",1.19,0.85,0.20662031641445686,0.062212098009851384,83.78737395065076,1.9346020205884997,319.8615036010742,13.356444023549557
186,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_neHEF1', 'WJet_neHEF1']",1.13,1.43,0.2093474652725873,0.06381866425169432,83.87737820587624,1.9390846865117055,8955.119192063808,60.374647215008736
187,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_qgl1', 'WJet_qgl2']",1.23,0.837,0.1946197135110747,0.055391357561461164,83.37600849581102,1.9227453923658686,23900.665809631348,123.29740934818983
188,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['HJet_qgl1', 'HJet_qgl2']",1.19,1.27,0.21166537482014045,0.06458711915666594,84.25257973618248,1.9469833282819309,3890.0594653487206,36.60749089717865
189,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_nConstituents1', 'WJet_nConstituents2']",1.06,1.03,0.2071933833817176,0.06254652493089981,83.96723787503073,1.9394871234035236,10673.045142412186,80.74334688484669
190,HLT_PFHT180,recon_Wmass,0.846,0.606,0.23113974677542598,0.07848624272615515,83.40150602079291,1.9720274453306956,850658.5581054688,549.6735065579414
191,HLT_PFHT180,recon_Hmass,0.889,0.0,0.22635954658177812,0.07481810144212465,82.63671656886476,1.9694087393118025,0.0,0.0
192,HLT_PFHT180,deltaR_reconHW,0.872,0.617,0.2123284220905162,0.06662073388495272,81.76969432448942,1.9748812422234465,594918.6807861328,470.04662358760834
193,HLT_PFHT180,recon_Hpt,0.983,0.727,0.2320087956224283,0.07761768706997427,84.2425401125442,1.9738286320205134,536728.9286499023,527.0646512061357
194,HLT_PFHT180,recon_Wpt,0.971,0.704,0.23067989851301995,0.07674125187492467,84.04197409651051,1.9775295885568767,82391.39227294922,187.16836815327406
195,HLT_PFHT180,deltaR_bb,0.974,1.07,0.23160992671139174,0.07872871095945255,84.23877225369598,1.9640159435375608,3624.615797519684,13.654777690768242
196,HLT_PFHT180,deltaR_W,0.797,0.569,0.2402942631975459,0.08392842507634873,83.6679246135372,1.9736087873352517,1202375.2070007324,618.7529354393482
197,HLT_PFHT180,Jet_HT,1.06,1.53,0.2211002476762433,0.07213122856243104,83.8921817771517,1.968557971231803,4994.48970669508,25.27886912226677
198,HLT_PFHT180,"['bJet_pt1', 'bJet_pt2']",0.928,0.714,0.23374591974484238,0.07954559840905255,83.76527544643012,1.9726478864826902,606059.6451416016,547.7441624999046
199,HLT_PFHT180,"['WJet_pt1', 'WJet_pt2']",1.0,0.708,0.2252583345733115,0.07451977160849561,84.16383860684444,1.974407009288825,718964.4324951172,596.1490686535835
